Bitcoin,"$25,706.47"
Ethereum,"$1,608.33"
Tether USDt,$0.9998
BNB,$211.80
XRP,$0.4969
USD Coin,$1.00
Cardano,$0.2466
Dogecoin,$0.06114
Solana,$17.88
TRON,$0.07796
Toncoin,$1.75
Dai,$0.9994
Polkadot,$4.13
Polygon,$0.5166
Litecoin,$60.57
Shiba Inu,$0.000007321
Wrapped Bitcoin,"$25,699.97"
Bitcoin Cash,$187.37
Stellar,$0.1306
UNUS SED LEO,$3.84
Avalanche,$9.45
Chainlink,$6.00
TrueUSD,$0.9983
Monero,$142.20
Binance USD,$1.00
OKB,$41.37
Uniswap,$4.19
Cosmos,$6.63
Ethereum Classic,$14.96
Hedera,$0.04756
Filecoin,$3.10
Internet Computer,$3.08
Mantle,$0.4084
Cronos,$0.05191
Lido DAO,$1.47
Aptos,$5.15
Quant,$96.97
VeChain,$0.01511
Maker,"$1,115.72"
NEAR Protocol,$1.13
Arbitrum,$0.8377
Optimism,$1.25
Aave,$53.86
The Graph,$0.08322
XDC Network,$0.05369
USDD,$0.9967
Algorand,$0.09015
Tezos,$0.6733
Stacks,$0.4479
EOS,$0.5615
Axie Infinity,$4.37
MultiversX,$23.48
The Sandbox,$0.2929
Theta Network,$0.6036
Immutable,$0.5088
Synthetix,$2.13
Bitcoin SV,$29.38
Injective,$6.55
Render,$1.46
Fantom,$0.1901
Decentraland,$0.2806
THORChain,$1.53
Pax Dollar,$0.9902
Neo,$7.02
Kava,$0.6344
IOTA,$0.17
Tether Gold,"$1,921.57"
PAX Gold,"$1,894.34"
ApeCoin,$1.24
Rocket Pool,$22.78
eCash,$0.0000225
Flow,$0.4143
Chiliz,$0.05728
Klaytn,$0.1302
Zcash,$24.35
KuCoin Token,$4.08
Conflux,$0.1195
Huobi Token,$2.39
Casper,$0.0335
Frax Share,$5.13
BitTorrent(New),$0.0...03961
GateToken,$3.84
Curve DAO Token,$0.4233
Mina,$0.3724
Sui,$0.4501
Terra Classic,$0.00005905
Gala,$0.01448
Trust Wallet Token,$0.764
Nexo,$0.5665
APENFT,$0.0...03107
Gemini Dollar,$0.9981
Astar,$0.05791
dYdX,$1.92
Dash,$25.40
Compound,$36.45
Flare,$0.01244
GMX,$30.87
Pepe,$0.0...07099
WOO Network,$0.1552
PancakeSwap,$1.22
Arweave,$4.01
Gnosis,$99.83
SafePal,$0.6005
Oasis Network,$0.03864
Zilliqa,$0.01569
Basic Attention Token,$0.1641
1inch Network,$0.2375
Loopring,$0.1835
MX TOKEN,$2.41
Enjin Coin,$0.2345
Chia,$27.75
Ethereum Name Service,$7.38
Bitcoin Gold,$12.39
SingularityNET,$0.1761
NEM,$0.02399
tomiNet,$3.30
Qtum,$2.06
Sei,$0.1193
Akash Network,$0.9652
Celo,$0.4098
aelf,$0.3297
Bone ShibaSwap,$0.9022
Mask Network,$2.50
Convex Finance,$2.51
Helium,$1.39
Decred,$12.83
Theta Fuel,$0.03097
Ocean Protocol,$0.3121
Ravencoin,$0.01465
Fetch.ai,$0.2233
Livepeer,$6.27
JUST,$0.02036
Ankr,$0.01809
Holo,$0.001041
STEPN,$0.1509
JasmyCoin,$0.003594
yearn.finance,"$5,227.41"
Balancer,$3.28
Aragon,$4.26
Waves,$1.51
Audius,$0.1499
Osmosis,$0.3347
Golem,$0.1636
Blur,$0.1771
FLOKI,$0.00001657
Kusama,$18.44
ICON,$0.1597
Threshold,$0.01686
Siacoin,$0.002748
Terra,$0.4016
Solar,$0.2525
ssv.network,$14.54
Illuvium,$40.11
EthereumPoW,$1.30
0x Protocol,$0.1657
IoTeX,$0.01482
Worldcoin,$1.07
Hive,$0.2729
Axelar,$0.3487
Ontology,$0.1561
Band Protocol,$1.00
SushiSwap,$0.5703
Biconomy,$0.1985
Moonbeam,$0.1765
IOST,$0.006826
Kadena,$0.5189
WAX,$0.03771
Harmony,$0.009281
TerraClassicUSD,$0.01276
Merit Circle,$0.2904
TomoChain,$1.19
Storj,$0.2954
Nervos Network,$0.002689
BORA,$0.1106
DAO Maker,$0.7572
Stargate Finance,$0.5234
SKALE,$0.02269
MAGIC,$0.4493
Flux,$0.3327
DigiByte,$0.006354
UMA,$1.40
Ribbon Finance,$0.1883
MobileCoin,$0.5178
Vulcan Forged PYR,$3.53
Horizen,$6.74
Everscale,$0.05253
Galxe,$1.11
Cartesi,$0.121
Alchemy Pay,$0.01333
API3,$1.03
Lisk,$0.6901
Kyber Network Crystal v2,$0.5211
Celer Network,$0.01145
Reserve Rights,$0.001738
Centrifuge,$0.2433
Pundi X (New),$0.3321
Status,$0.02169
Metal DAO,$1.25
Core,$0.5245
Numeraire,$13.11
